language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason
Uspanteco,uspanteco,usp,0,0,Missing published card translation
Uyghur,uyghur,ug,0,0,Missing published card translation
Vajjika,vajjika,mai,0,0,Missing published card translation
Venda,venda,ve,0,0,Missing published card translation
Waray-Waray,waray-waray,war,0,0,Missing published card translation
Welsh,welsh,cy,0,0,Missing published card translation
Wolof,wolof,wo,0,0,Missing published card translation
Xhosa,xhosa,xh,0,0,Missing published card translation
Yakut,yakut,sah,0,0,Missing published card translation
Yoruba,yoruba,yo,0,0,Missing published card translation
Zulu,zulu,zu,0,0,Missing published card translation
American Sign Language,american-sign-language,en,2,2,Insufficient eligible catalog inventory
Antesaka,antesaka,en,0,2,Insufficient eligible catalog inventory
"Arabic, North African",arabic-north-african,ar,1,1,Insufficient eligible catalog inventory
Ayizo,ayizo-tori,en,1,1,Insufficient eligible catalog inventory
Bahasa Melayu,bahasa-melayu-2,en,1,2,Insufficient eligible catalog inventory
Brazilian Sign Language,brazilian-sign-language,en,1,1,Insufficient eligible catalog inventory
Colombian Sign Language,colombian-sign-language,en,1,1,Insufficient eligible catalog inventory
Costa Rican Sign Language,costa-rican-sign-language,en,1,1,Insufficient eligible catalog inventory
Dagara,dagaari-northern,en,0,0,Insufficient eligible catalog inventory
Japanese Sign Language,japanese-sign-language,en,1,1,Insufficient eligible catalog inventory
Jordanian Sign Language,jordanian-sign-language,en,1,1,Insufficient eligible catalog inventory
Korean Sign Language,korean-sign-language,en,1,1,Insufficient eligible catalog inventory
Kusaal,kusaal,en,4,5,Insufficient eligible catalog inventory
Lebanese Sign Language,lebanese-sign-language,en,1,2,Insufficient eligible catalog inventory
Letuama-Tanimuca,letuama-tanimuca,en,1,1,Insufficient eligible catalog inventory
"Limba, West-Central",limba-west-central,en,0,0,Insufficient eligible catalog inventory
Mexican Sign Language,mexican-sign-language,en,1,1,Insufficient eligible catalog inventory
New Zealand Sign Language,new-zealand-sign-language,en,1,1,Insufficient eligible catalog inventory
Persian Sign Language,persian-sign-language,en,1,1,Insufficient eligible catalog inventory
Ralte,ralte,en,0,0,Insufficient eligible catalog inventory
Romanian Sign Language,romanian-sign-language,en,1,1,Insufficient eligible catalog inventory
Russian Sign Language,russian-sign-language,en,1,1,Insufficient eligible catalog inventory
Salar,salar,en,0,1,Insufficient eligible catalog inventory
Sidamo,sidamo,en,1,1,Insufficient eligible catalog inventory
Tarifit (Abs),tarifit-arabic-based-script,en,1,1,Insufficient eligible catalog inventory
Tarifit (Lbs),tarifit-latin-based-script,en,1,1,Insufficient eligible catalog inventory
"Tonga, Zambezi",tonga-zambezi,en,1,2,Insufficient eligible catalog inventory
Ukrainian Sign Language,ukrainian-sign-language,en,1,1,Insufficient eligible catalog inventory
Urdu (Indian),urdu-indian,en,1,1,Insufficient eligible catalog inventory
"Uyghur, Central Asia",uyghur-central-asia,en,1,1,Insufficient eligible catalog inventory
Visual Vernacular,visualvernacular,en,3,5,Insufficient eligible catalog inventory
"Wayampi, Oiapoque",wayampi-oiapoque,en,1,1,Insufficient eligible catalog inventory
Yakpa,yakpa,en,0,0,Insufficient eligible catalog inventory
Yiddish,yiddish,en,1,1,Insufficient eligible catalog inventory
"Zhuang, Minz",zhuang-minz,en,0,0,Insufficient eligible catalog inventory
"Arabic, Najdi",arabic-najdi,en,5,9,Additional curation needed
"English, African",english-african,en,12,14,Six cards available; reserve below 30
"English, British",english-british,en,12,14,Six cards available; reserve below 30
"French, African",french-african,fr,28,35,Six cards available; reserve below 30
Kachhi Gujerati,kachhi-gujerati,en,28,54,Six cards available; reserve below 30
Kwasio,kwasio,en,9,10,Six cards available; reserve below 30
Lebanese-Syrian Arabic,lebanese-syrian-arabic,en,10,11,Six cards available; reserve below 30
Mazanderani,mazanderani,en,28,54,Six cards available; reserve below 30
"Portuguese, Mozambique",portuguese-mozambique,pt,14,28,Six cards available; reserve below 30
