audioLanguageSlug,coreLanguageId,poolKey,themeUnique,sharedWithStart,additionalBeyondStart,unionWithStart
ajiya,141189,exploring-jesus,21,21,0,35
akebu,141199,meaning-and-purpose,18,18,0,35
akebu,141199,hope-and-perseverance,16,16,0,35
akebu,141199,love-and-belonging,12,12,0,35
akebu,141199,forgiveness-and-new-beginnings,7,7,0,35
akebu,141199,exploring-jesus,21,21,0,35
akeu,96819,meaning-and-purpose,18,18,0,35
akeu,96819,hope-and-perseverance,16,16,0,35
akeu,96819,love-and-belonging,12,12,0,35
akeu,96819,forgiveness-and-new-beginnings,7,7,0,35
akeu,96819,exploring-jesus,21,21,0,35
akha,3712,meaning-and-purpose,18,18,0,36
akha,3712,hope-and-perseverance,16,16,0,36
akha,3712,love-and-belonging,12,12,0,36
akha,3712,forgiveness-and-new-beginnings,7,7,0,36
akha,3712,exploring-jesus,22,22,0,36
aklanon,12853,meaning-and-purpose,18,18,0,35
aklanon,12853,hope-and-perseverance,16,16,0,35
aklanon,12853,love-and-belonging,12,12,0,35
aklanon,12853,forgiveness-and-new-beginnings,7,7,0,35
aklanon,12853,exploring-jesus,21,21,0,35
akoose,2894,meaning-and-purpose,18,18,0,35
akoose,2894,hope-and-perseverance,16,16,0,35
akoose,2894,love-and-belonging,12,12,0,35
akoose,2894,forgiveness-and-new-beginnings,7,7,0,35
akoose,2894,exploring-jesus,21,21,0,35
akposo,5296,meaning-and-purpose,18,18,0,35
akposo,5296,hope-and-perseverance,16,16,0,35
akposo,5296,love-and-belonging,12,12,0,35
akposo,5296,forgiveness-and-new-beginnings,7,7,0,35
akposo,5296,exploring-jesus,21,21,0,35
akuku,139598,meaning-and-purpose,18,18,0,35
akuku,139598,hope-and-perseverance,16,16,0,35
akuku,139598,love-and-belonging,12,12,0,35
akuku,139598,forgiveness-and-new-beginnings,7,7,0,35
akuku,139598,exploring-jesus,21,21,0,35
alaba,4793,meaning-and-purpose,18,18,0,35
alaba,4793,hope-and-perseverance,16,16,0,35
alaba,4793,love-and-belonging,12,12,0,35
alaba,4793,forgiveness-and-new-beginnings,7,7,0,35
alaba,4793,exploring-jesus,21,21,0,35
alagwa,142694,meaning-and-purpose,18,18,0,35
alagwa,142694,hope-and-perseverance,16,16,0,35
alagwa,142694,love-and-belonging,12,12,0,35
alagwa,142694,forgiveness-and-new-beginnings,7,7,0,35
alagwa,142694,exploring-jesus,21,21,0,35
alangan,139397,meaning-and-purpose,18,18,0,35
alangan,139397,hope-and-perseverance,16,16,0,35
alangan,139397,love-and-belonging,12,12,0,35
alangan,139397,forgiveness-and-new-beginnings,7,7,0,35
alangan,139397,exploring-jesus,21,21,0,35
albanian,20526,meaning-and-purpose,25,25,0,72
albanian,20526,hope-and-perseverance,30,29,1,73
albanian,20526,love-and-belonging,30,28,2,74
albanian,20526,forgiveness-and-new-beginnings,17,16,1,73
albanian,20526,exploring-jesus,45,45,0,72
albanian-kosovar,20528,meaning-and-purpose,19,19,0,48
