coreVideoId,coreLabel,primaryTitle,publishedLanguageIds,hlsLanguageIds,variantCount,publishedHlsVariantCount,durationMinSeconds,durationMedianSeconds,durationMaxSeconds
11_Sermon,series,Sermon on the Mount,1106 19985 20615 21028 3804 3934 496 529 5848 5871 6464 7083,,12,0,,,
11_Sermon0110,episode,Intro to Sermon on the Mount,1106 19985 20615 21028 3804 496 529 5848 5871 6464 7083,1106 19985 20615 21028 3804 496 529 5848 5871 6464 7083,11,11,319,360,545
11_Sermon0210,episode,The Beatitudes,1106 19985 20615 21028 3804 496 529 5848 5871 6464,1106 19985 20615 21028 3804 496 529 5848 5871 6464,10,10,395,422,484
11_Sermon0310,episode,Jesus Fulfills the Law,19985 20615 21028 3804 3934 496 529 5848 5871 6464 7083,19985 20615 21028 3804 3934 496 529 5848 5871 6464 7083,11,11,370,404,456
11_Sermon0410,episode,"Wisdom Within Laws About Murder, Adultery, and Divorce",19985 20615 21028 3804 496 529 5848,19985 20615 21028 3804 496 529 5848,7,7,483,513,606
11_Sermon0510,episode,"Wisdom Within Laws About Oaths, Retaliation, and Enemy Love",19985 20615 21028 3804 496 529 5848 7083,19985 20615 21028 3804 496 529 5848 7083,8,8,479,548,610
11_Sermon0610,episode,Warning About Religious Practices,19985 21028 496 529 5848 7083,19985 21028 496 529 5848 7083,6,6,393,425,451
11_Sermon0710,episode,The Lord's Prayer,19985 21028 496 529 5848 7083,19985 21028 496 529 5848 7083,6,6,562,616,657
11_Sermon0810,episode,Wealth and Worry,19985 21028 496 529 5848 7083,19985 21028 496 529 5848 7083,6,6,407,448,482
11_Sermon0910,episode,Wisdom in Relationships,19985 21028 496 529 5848 7083,19985 21028 496 529 5848 7083,6,6,315,362,397
11_Sermon1010,episode,The Choice,19985 21028 496 529 5848 7083,19985 21028 496 529 5848 7083,6,6,415,469,495
11_Shema,series,"Shema: ""Listen""",1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,,19,0,,,
11_Shema0106,episode,Shema / Listen,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,187,217,247
11_Shema0206,episode,YHWH / LORD,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,216,251,323
11_Shema0306,episode,Ahavah / Love,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,233,262,323
11_Shema0406,episode,Lev / Heart,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,219,262,334
11_Shema0506,episode,Nephesh / Soul,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,240,273,335
11_Shema0606,episode,Meod / Strength,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,1106 16639 1942 19985 20601 20615 21028 21753 21754 3804 4415 496 529 584 5848 6318 6464 7083 7698,19,19,257,297,375
11_SpiritualBeings,series,God and Spiritual Beings,1106 13169 16639 19985 20601 20615 21028 21753 21754 3804 4451 496 529 584 5848 6464 7083 7698,,18,0,,,
