videoId,videoCoreId,keywordId,keywordCoreId,value,languageId,keywordDeletedAt
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,d7aebe6a-0b92-45d5-9b1f-a8ef3a9bd26f,3851325a-9e1c-4a1a-b042-8de010010001,fighter pilot,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,2f86b975-97cb-45f1-bdf0-2617563e745d,84b5098d-ec83-4218-9602-b72201011010,porsche,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,46fbb647-8ded-4c12-9504-fa9ae3d1b76f,0410f4a6-6571-4bc5-88ee-e39510101100,desire,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,5bcac116-41e4-4b03-aba7-a529c7c0492c,692316a7-dd63-4172-b646-364411111011,identity,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,f6b09d59-5063-4dad-9ce0-9c701f5cb490,28d43a8d-f3a9-4684-b4f9-a0f510110100,aerospace engineer,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,39177f07-55c7-49fb-8172-14e624abd7cd,c42bf065-a2ef-4263-86fc-892e00110111,joy,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,435399b3-cbd6-4adf-a4bf-f615e979d185,06bf0eaf-583b-4238-8791-e71710001010,success,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,e48d0e40-1b28-4211-8092-6ff106c09350,928f6cbc-9d2d-4c0a-ac40-fbf100010010,money,cmokkxw5v03uyqsccis58pea6,
cmp785igu048wqm01j6qem2mj,2_0-AndreasStory,1fa53cb3-04f0-4328-9e50-68e77404dc89,28d43a8d-f3a9-4684-b4f9-a0f501010010,acceptance,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,0230a45d-90fe-492c-af7a-57b174a1c6e9,9c910266-dd38-41f0-9e29-071100111110,manuscript,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,329b5110-d610-4d8f-83e2-fdf447ebfb4b,0875c315-96f7-457b-a568-16b111110110,recovered,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,126fa7aa-3c19-46fd-8934-cc517420c4de,06bf0eaf-583b-4238-8791-e71700111011,standard,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,f1796a36-9800-449d-a0eb-3ed3f87f445e,06bf0eaf-583b-4238-8791-e71711101110,text,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,e1086602-e768-425d-96e2-ad70c8814275,94878f9f-3bea-42f2-9b63-f48200110010,century,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,9e323788-1f27-4a13-850d-fa9d8440d5b3,94878f9f-3bea-42f2-9b63-f48211111010,copies,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,354f5eb9-1b4a-4f59-b406-7d81d36ef158,94878f9f-3bea-42f2-9b63-f48210000101,Codex Sinaiticus,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,f6204197-63df-4ff4-a6fb-8dec458ba6b4,48fe04f1-b48a-45f3-869a-2a0700011011,injeel,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,01338542-8759-40bf-9a57-439f204156be,48fe04f1-b48a-45f3-869a-2a0711111101,Jesus Film,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,1f67dc8e-fd06-44db-9b72-aa0a94195832,c42bf065-a2ef-4263-86fc-892e11010010,Languages,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,5c3d8ba7-1cda-4ed6-bea0-af91a6a30152,928f6cbc-9d2d-4c0a-ac40-fbf100001110,modern,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,8f3b7f8f-fa5f-4c4a-8064-a564f43d9552,84b5098d-ec83-4218-9602-b72211110011,proves,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,50cec91c-d7da-4058-a63e-81d359ba665f,bb5a0516-d8aa-4ed6-9133-7f7510100111,validate,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,3add1719-680d-40f6-9c43-3b0f8f59ff61,bb5a0516-d8aa-4ed6-9133-7f7510101000,validates,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,6f7de526-99df-4d2b-9685-faa394b74a9c,94878f9f-3bea-42f2-9b63-f48211000000,composed,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,0daa9858-b71d-40c7-8d22-80e8ae69b13a,94878f9f-3bea-42f2-9b63-f48211100100,consists,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,832d86ac-450f-4f28-867a-66138df4e567,94878f9f-3bea-42f2-9b63-f48211100010,consist,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,d5510cd1-feb1-4ab9-9b9c-c045461957f9,94878f9f-3bea-42f2-9b63-f48211111001,copied,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,33ef3dd3-ed5f-4f63-9c22-89dd020aae40,9c910266-dd38-41f0-9e29-071100111111,manuscripts,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,7f1f9912-2876-42b1-affa-4ae0d79a6981,bb5a0516-d8aa-4ed6-9133-7f7501010110,translation,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,9e51cd9c-9ab4-47a8-aa3f-bc87bee60a24,0875c315-96f7-457b-a568-16b110010010,psalms,cmokkxw5v03uyqsccis58pea6,
cmp785jq0049mqm01hnp767i4,2_0-BibleTrusted,2e73495d-c5a5-4f5b-a1ba-4d295238efb4,ce0bbabb-798d-4c3c-83f0-d45501000110,same,cmokkxw5v03uyqsccis58pea6,
