videoId,coreVideoId,editionId,dubRows
cmokmmqw20o8oqscc0agy3yqg,DWJ1,cmp721bv307ipo001ykzjikqk,27
cmrundr4a00j4n101knmywu3l,6_Acts,b89a0f0f-438b-472b-8276-d37ac97a08a4,31
cmp78abut06lqqm01xwsm03aq,2_Acts7305-0-0,cmp721t5i07m4o001lysd63fe,9
cmp78agcf06oaqm01w4k9ae5n,2_Acts7308-0-0,cmp7231ky07uwo001zec8r988,9
cmp78288r02mcqm01w3ge27mh,1_riv-0-0,cmp722x7t07u1o001f0qrs6tp,40
cmp782e2k02poqm01m72g3gtw,1_riv_05-0-0,cmp723r6c07zyo0012o2ckzcj,40
cmp782jrg02rqqm01kk4vpzg1,1_riv_09-0-0,cmp722ta607t9o00177h93u6o,40
cmp782lad02seqm01u6a4mhla,1_riv_10-0-0,cmp724f2g084oo001nci3fi1t,40
cmp7828xl02mqqm01q6de6rhd,1_riv_01-0-0,cmp720arb07bdo001n4x18r6k,40
cmp78ami206rsqm01uzld7xsa,2_Acts7312-0-0,cmp720vz207fko0018wkq0npb,9
cmp76xcw602imny01vnsbwwy9,1_jf-0-0,2e5de1ca-06b2-465a-b85b-8be1c86f180f,3
cmp78avxg06weqm01f6k5s3v6,2_Acts7317-0-0,cmp722a5i07pho0010pc6wdxx,9
cmp78b4ls071eqm01bdst1d5i,2_Acts7323-0-0,cmp72007k079ao0012qr65k0v,9
cmp78b7e9072yqm01g3yuj1ps,2_Acts7325-0-0,cmp721zm207neo001zhb2wlrd,9
cmp78bc0e075mqm01r7kpdv0w,2_Acts7328-0-0,cmp724apq083to00113yq2awa,9
cmp78bnlf07bkqm01eqpb4v29,2_Acts7336-0-0,cmp723i1707y5o0015fykwp96,9
cmp78buvj07f8qm015eoawb8j,2_Acts7340-0-0,cmp722ddo07q4o0018g7oag5l,9
cmp78ajf706q0qm01p47xdrd9,2_Acts7310-0-0,cmp7216il07hno001pmh837zs,9
cmp78bz2507hiqm01qxi6vmn7,2_Acts7343-0-0,cmp723wxu0813o00110dd1e1p,9
cmp78auit06vmqm015u0hokkc,2_Acts7316-0-0,cmp72073u07ano0014jspcxsb,9
cmp78614o04iuqm015kru03qe,2_0-ConsideringChristmas,cmp72248z07obo001iwoutnme,13
cmp78u2mp0g6aqm01nypgderz,8_NBC02,cmp721e4107j5o001r7zfelhz,40
cmp78u4620g6mqm010vhdqlys,8_NBC03,cmp7214em07h8o0011hh038is,40
cmp78u73x0g86qm01ftezjq8q,8_NBC05,cmp721rgs07lso001xq3omma3,40
cmp78u9wo0g9eqm01c19mqui8,8_NBC07,cmp722w8e07tuo001gnztppo3,40
cmp78ucpj0gasqm01vv53dmnl,8_NBC09,cmp72054z07a9o0014sr8si8q,40
cmokmlphf0o3oqscctk8w021p,9_CreationtoChrist0703,cmokmlqvm0o43qscco8j3t5d3,45
cmp78b6010726qm01cs4a69ra,2_Acts7324-0-0,cmp71zi6n075qo001u6740565,9
cmp76k8r5009kny01zfr58abw,11_Advent0404,cmp724mxp0868o001qiys9uo6,39
cmp78ceit07puqm01qwp9ounv,2_Acts7354-0-0,cmp724x7k0889o001konac84w,9
cmp78bdjj076aqm01h7m568yl,2_Acts7329-0-0,cmp7205f207abo0017ewb84hw,9
cmp78bexs076uqm01ml9bp43w,2_Acts7330-0-0,cmp721jqj07k9o0017k1keu9v,9
cmokmltnh0o4sqscc538f8ft5,9_CreationtoChrist0705,cmokmlv460o57qscctuwvks93,45
cmp76k1420098ny01qfdqru2w,11_Advent0304,cmp724xrt088do001sbgu3mjw,39
cmp76kp0y00bany01kfq72n9a,11_ReadBible1904,cmp720hs907cro001gyre0pz0,28
cmp76kwk500d4ny0144tyiwms,11_ReadBible1907,cmp724n7u086ao001llrme0z1,27
cmp76lfgq00iany01f48lejft,11_ReadBible1915,cmp722kk207rjo00174iiex7d,24
cmp76lodh00kyny014hqzwwdi,11_ReadBible1918,cmp71zkfu0766o001jsi5klxt,23
cmp76ltff00lsny015n9l3ptz,11_ReadBible1919,cmp720t0p07ezo001j5hpgv49,23
cmp78coay07uwqm0145u9x4fu,2_Acts7361-0-0,cmp723z6p081jo001m0airn89,9
cmp78cpp407voqm01dtwb1v7i,2_Acts7362-0-0,cmp721cfb07ito001j913hfwz,9
cmp76kt9v00c4ny01qc5akzzz,11_ReadBible1906,cmp723y7a081co001l0b8htoc,27
cmp76l6fb00funy01qkg4dhgb,11_ReadBible1911,cmp724bf1083yo001kea3l7zu,24
cmp76l7sj00g4ny014lv432yy,11_ReadBible1912,cmp71zmu5076no001lc19m1f9,24
cmp76ld4v00hony01624zpkww,11_ReadBible1914,cmp724a0a083oo0018tu37jao,23
cmp76oyro00x6ny01mcgpr5tk,11_SpiritualBeings0802,cmp720irr07cyo001uov65i8c,16
cmp76p1ig00xuny017mwdl4u8,11_SpiritualBeings0803,cmp721wiu07mso0011pjrjdfa,16
cmp76pbgy010gny0145m57e64,11_SpiritualBeings0806,cmp723gcm07xto001kl6glrb9,16
cmp78656a04l2qm01fkdb1vn5,2_0-Ctrl-Z,1b42c18d-134e-4fc6-91b7-8021c88d8ac7,1
cmp78i6bz0am4qm0170zdznjy,2_PIPerception,cmp724f7i084po001vmux7rou,2
cmp78itw00axyqm01s4n0q51d,2_UltimateCoachVert,cmp7254dn089oo001unjcqpmh,10
cmp78qpqu0emyqm01j4694114,7_0-nfs0101,cmp7247730834o0013p6yofok,14
cmp78qvla0eq2qm01nst6n2tl,7_0-nfs0202,cmp7213ud07h4o001bkmwp8ej,14
