languageId,coreLanguageId,audioLanguageSlug,canonicalEnglishName,canonicalNameLocales,legacyEnglishNameMirror,bcp47,iso3,source,deletedAt,syncedAt,rawDubRows,rawVideos,rawLeafVideos,rawCollectionVideos,rawSeriesVideos,rawVideosWithDeclaredSource,publishedVideosWithDeclaredSource,publishedLeafDeclaredSources,publishedLeafHls,publishedLeafMux,publishedLeafHlsOnly,publishedCollectionDeclaredSources,publishedSeriesDeclaredSources,watchUnrestrictedPublishedLeafDeclared,curatedDeclaredLeafReferences,approvedCuratedDeclaredLeafReferences,curatedEditorialChoicesWithDeclaredLeafSource,approvedEditorialChoicesWithDeclaredLeafSource,uncuratedDeclaredLeafVideos,manifest_pass,manifest_failed,currentWebDisplayLocale,priorCurrentRecommendationStartUnique,priorCurrentRecommendationEligibleIdCeiling,rawLeafInventoryMeaning
cmok1qend01qjqsv1yrm5voo5,1444,afrikaans,Afrikaans,af|en,Afrikaans,af,afr,core,,2026-09-03T07:00:06.934937+00:00,298,298,265,28,5,265,265,265,265,265,0,0,0,265,143,134,121,114,122,0,0,af,0,0,declared metadata; canonical identity and stream health not guaranteed
cmok1puut01lqqsv1z907ahsy,143624,agabag,Agabag,en,Agabag,sbr,sbr,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl21qd04vrqsccynv3myzu,96835,agarabi,Agarabi,en,Agarabi,agd,agd,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokl1szr04toqsccmse4o6cj,9290,agatu,Agatu,agc|en,Agatu,agc,agc,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1mr6a00vuqsv149a09mbn,139321,aghem,Aghem,en,Aghem,agq,agq,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmok1mokb00v7qsv1wugoejj9,139205,aguna,Aguna,aug|en,Aguna,aug,aug,core,,2026-09-03T07:00:06.934937+00:00,67,67,55,12,0,55,55,55,55,55,0,0,0,55,32,31,32,31,23,0,0,en,30,55,declared metadata; canonical identity and stream health not guaranteed
cmokkpuel01vfqsccpewypfvq,184668,agusan-surigao-manobo,Agusan-Surigao Manobo,en,Agusan-Surigao Manobo,msm,msm,core,,2026-09-03T07:00:06.934937+00:00,79,79,64,15,0,64,64,64,64,64,0,0,0,64,35,34,35,34,29,0,0,en,33,64,declared metadata; canonical identity and stream health not guaranteed
cmokkxngy03svqscctqed480o,5170,ahanta,Ahanta,en,Ahanta,aha,aha,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkzsts04bnqscc54uzn9mo,6330,ahirani,Ahirani,ahr|en,Ahirani,ahr,ahr,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
cmokkplm001tfqsccotaeexpt,184550,aikana,Aikana,en,Aikana,tba,tba,core,,2026-09-03T07:00:06.934937+00:00,76,76,62,14,0,62,62,62,62,62,0,0,0,62,35,34,35,34,27,0,0,en,33,62,declared metadata; canonical identity and stream health not guaranteed
