id,slug,bcp47
140790,ghari,gri
14081,datooga,tcc
14084,pangwa,pbr
140853,hrangkhol,hra
140867,hadza,hts
140882,huitoto-murui,huu
14089,nyamwezi,nym
140893,hawaii-pidgin,hwc
140927,hatam,had
140928,oromo-eastern,hae
140932,halang,hal
140937,harari,har
140943,heiban,hbn
140948,miao-northern-qiandong,hea
140982,miao-central-mashan,hmm
140985,miao-southern-qiandong,hms
140994,hanunoo,hnn
141009,ifugao-mayoyao,ifu
141024,olulumo-ikom,iko
141025,ikpeshi,ikp
141031,ile-ape,ila
141060,yamdena,jmd
141066,mouwase,jmw
141073,kiviila,job
14108,ngindo,nnq
141085,iraya,iry
141113,ivatan,ivv
141124,yabem,jae
141128,jakun,jak
14115,ngulu,ngp
141153,jeh,jeh
141158,jere,jer
14117,ndamba,ndj
141173,jiamao,jio
141189,ajiya,idc
141199,akebu,keu
141202,kupia,key
141204,konda-dora,kfc
141227,krongo,kgo
141238,worodougou,jud
14124,mwera,mwe
141265,xaasongaxango,kao
141267,capanahua,kaq
141292,ukaan,kcf
141310,kutu,kdc
141311,mamusi,kdf
14132,kwaya,kya
141325,kerewe,ked
141333,kim,kia
141334,koalib,kib
141355,qanjobal,kjb
141359,zabana,kji
141363,kinnauri-pahari,kjo
141371,ikota,koq
141382,curripaco,kpc
141436,maskelynes,klv
141455,kamasau,kms
141513,kwaio,kwd
141515,kwaraae,kwf
141518,awa-cuaiquer,kwi
141528,kaba-naa-sara,kwv
141536,karo,kxh
14154,shambala,ksb
141560,tehit,kps
141566,kupsapiiny,kpz
141569,doromu-koki,kqc
14157,kagulu,kki
141574,koita-ga,kqi
141586,kandas,kqw
14159,kinga,zga
141597,sapo,krn
141602,karon,krx
141610,uare,ksj
141618,winye,kst
141620,kedang,ksx
141637,katu-eastern,ktv
141644,auhelawa,kud
14165,konongo-2,kcz
141653,kusaal,kus
141667,kuni-boazi,kvg
141691,label,lbb
141728,lumun,lmd
141734,hano,lml
141739,duya,ldb
141755,enlhet-2,enl
141767,lungga,lga
141771,wala,lgl
141789,lihir,lih
141796,col,liw
141801,lampung-api,ljp
14182,jita,jit
14183,zinza,zin
14187,iraqw,irk
141870,kenyah,xkl
