language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Dagara,dagaari-northern,en,0,0,Insufficient eligible catalog inventory,22197,0,0,0,0,0,0,0,0,0,False,2026-09-10T03:34:39.122975+00:00,1,40e9f887c3921a4d92262f610b1928016f2535063b18bf00e193bb6f1d10cd6d
Danish,danish,da,0,0,Missing published card translation,4454,138,138,25,113,113,113,113,2,23,True,2026-09-10T03:33:13.164611+00:00,1,27f35747eb5ec44bc7414bbb2aef9d16c72d7b288e9dcf8211638623438749ac
Darchuleli,darchuleli,ne,0,0,Missing published card translation,111588,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:13.950698+00:00,1,37777829986742b59e417f7d604999e46c4785ee1157cd4e8dcf053405fb7a0f
Dene,dene,chp,0,0,Missing published card translation,97745,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:14.692942+00:00,1,b62fec927bc3c45103b3c696b18e19cdbc72808609dd9fb5fe4f220140cd9b84
Dhivehi,dhivehi,dv,0,0,Missing published card translation,53287,147,147,26,121,121,121,121,2,24,True,2026-09-10T03:33:16.141653+00:00,1,910d72105d05d1c0e093cc5372c121335d849e7677fcaad4d1483a6612d55431
Dutch,dutch,nl,0,0,Missing published card translation,1269,339,339,35,304,304,304,304,2,33,True,2026-09-10T03:33:16.049056+00:00,1,14ee24da3b8db7c64629631449d40b03896f3686eac53a7559653f3ed44d590a
Dzongkha,dzongkha,dz,0,0,Missing published card translation,1375,108,108,21,87,87,87,87,2,19,True,2026-09-10T03:33:15.920497+00:00,1,5cc3e0ae58a25add96ab3df04a63ae7e14b4f1fa56c4f700827bd59c545be988
"English, African",english-african,en,12,14,Six cards available; reserve below 30,185221,24,24,10,14,14,14,14,0,10,True,2026-09-10T03:34:52.171584+00:00,1,c42b555b1e5ed8ed91b7f10ea56f90e02314a905f6b4f97c97574646d1cdf23b
"English, British",english-british,en,12,14,Six cards available; reserve below 30,185021,24,24,10,14,14,14,14,0,10,True,2026-09-10T03:34:56.959533+00:00,1,e03458835297059186e48692893feaca7e925605e64a0d44c5153339fcaf023d
Erzya,erzya,myv,0,0,Missing published card translation,18483,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:33:16.136313+00:00,1,c8dfd9566e39f4fd8bb66a7c4adfe0beea215c3ae32b490e13e2247faa4bd37f
Estonian,estonian,et,0,0,Missing published card translation,4601,180,180,24,156,156,156,156,2,22,True,2026-09-10T03:33:17.459513+00:00,1,61e4bd89677fadf850124e0840ed3a5a5209afe412f0212e75a886580a8743f3
Ewe,ewe,ee,0,0,Missing published card translation,5331,138,138,17,121,121,121,121,0,17,True,2026-09-10T03:33:18.611434+00:00,1,e0ecbd69e8400d32f5614fd4b7d09a5b44a9424bbcd0f6ff16f2182004ad5e8a
Faroese,faroese,fo,0,0,Missing published card translation,4455,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:33:18.411368+00:00,1,49056fa9e9d2882b0257a0ca12f780d41ab61e46103745e2949d9a6550cda5ed
Fiji-Hindi,fiji-hindi,hif,0,0,Missing published card translation,53300,95,95,17,78,78,78,78,0,17,True,2026-09-10T03:33:18.724253+00:00,1,54974560d8a0bf919addce7014e52bf6eb69b0d931bc2e71dfde9cca442f69f3
Fijian,fijian,fj,0,0,Missing published card translation,20665,120,120,22,98,98,98,98,2,20,True,2026-09-10T03:33:19.124923+00:00,1,6c1a8a9c6ed6be8cc56273c0a789140933929be4d0e926859aa4660a3c2d7a6d
