language,audioLanguageSlug,displayLocale,eligibleCuratedVideos,catalogVideoIdsUpperBound,reason,coreLanguageId,publishedVariantRows,publishedDistinctVideoIds,collectionOrSeriesVideoIds,publishedLeafVideoIds,leafVideosWithHls,leafVideosWithMux,leafVideosWithHlsOrMux,nonLeafVideosWithHlsOrMux,nonLeafWithoutStream,coreStreamCountAtLeast6,observedAt,pages,evidenceSha256
Udmurt,udmurt,udm,0,0,Missing published card translation,18606,161,161,19,142,142,142,142,0,19,True,2026-09-10T03:34:31.465567+00:00,1,72b739f1da6d499c94e61277232869810066bfc15d441d707acf301d96ae69f3
Ukrainian,ukrainian,uk,0,0,Missing published card translation,12876,316,316,38,278,278,278,278,2,36,True,2026-09-10T03:34:32.502076+00:00,1,e915e17c5c4bd27ee3cb51556b1b469bfbff2f2decdb2156683eb251138b8226
Ukrainian Sign Language,ukrainian-sign-language,en,1,1,Insufficient eligible catalog inventory,14783,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:45.297693+00:00,1,02b5a52edbef7134e94a2c2fe886f91d3fa291c0b9216089b213cdd8633d36d8
Urdu (Indian),urdu-indian,en,1,1,Insufficient eligible catalog inventory,22563,3,3,2,1,1,1,1,0,2,False,2026-09-10T03:34:45.326107+00:00,1,d3c63ae5b2448f2f726dab97183aaa0da08adc730b9a7f32f010cf451084a3d2
Uspanteco,uspanteco,usp,0,0,Missing published card translation,5431,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:31.922336+00:00,1,2cafcf20b8a36074ba46b36cb374b8d25268a85342d2760f6bb83e9c9e6fb558
Uyghur,uyghur,ug,0,0,Missing published card translation,410,91,91,18,73,73,73,73,0,18,True,2026-09-10T03:34:32.889005+00:00,1,08a8e35a0f509e8080fb01b9af14a103d404f107cc638ee8b351ca3523888df2
"Uyghur, Central Asia",uyghur-central-asia,en,1,1,Insufficient eligible catalog inventory,185211,9,9,8,1,1,1,1,0,8,False,2026-09-10T03:34:45.670866+00:00,1,d4115dae441cbb1b276f6b9cb40c71eabcc877ea1e5047175dc72d1c30c1c94e
Vajjika,vajjika,mai,0,0,Missing published card translation,153840,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:32.695168+00:00,1,de5d60393a4558b1704365a75d4352cc38e44aa2d093a277f4b646b5a0559461
Venda,venda,ve,0,0,Missing published card translation,13414,92,92,16,76,76,76,76,0,16,True,2026-09-10T03:34:33.762901+00:00,1,2d791f7e5db2f6fdeaa7cdc9c7fc5109631561e9477d085a294ad519db219af5
Visual Vernacular,visualvernacular,en,3,5,Insufficient eligible catalog inventory,185345,5,5,2,3,3,3,3,2,0,False,2026-09-10T03:34:51.238537+00:00,1,5dc1eb6196187900e90df3bb44a092de2ddfe0c857dbddc951c2d30f8606ea48
Waray-Waray,waray-waray,war,0,0,Missing published card translation,12533,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:33.886264+00:00,1,591df1d6e8dfc2d924dfca136a03188525fe8f91b242995c635d79f03932c4af
"Wayampi, Oiapoque",wayampi-oiapoque,en,1,1,Insufficient eligible catalog inventory,1796,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:51.235289+00:00,1,eda53808b6c18aaa7905a0a6736d0fb93078b38521ca03a14d908a398b969c52
Welsh,welsh,cy,0,0,Missing published card translation,14815,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:34.106257+00:00,1,bbaf83a02085db1096d5aba0aad24e7679d96b88a83af6290f20a7762a77b771
Wolof,wolof,wo,0,0,Missing published card translation,7897,171,171,24,147,147,147,147,2,22,True,2026-09-10T03:34:35.436372+00:00,1,670fcf091a54963420d4a68a17f1efaee665273937bbfbaed10b37119076db2f
Xhosa,xhosa,xh,0,0,Missing published card translation,13408,184,184,26,158,158,158,158,2,24,True,2026-09-10T03:34:36.003989+00:00,1,bd2289ab3fbcfa1e94d3eefe900fdb1f28157626a6218ab8b70673852879b97c
Yakpa,yakpa,en,0,0,Insufficient eligible catalog inventory,109459,0,0,0,0,0,0,0,0,0,False,2026-09-10T03:34:52.159847+00:00,1,3099f7eb722eab36a1fbe3a26e1fd2736aba8677c9d163b7c2c24835957ca068
Yakut,yakut,sah,0,0,Missing published card translation,18379,76,76,14,62,62,62,62,0,14,True,2026-09-10T03:34:36.520982+00:00,1,51d0d19d6e4ebdcd8c05f08f8c7cf90f4dfdc36368f59cb149af5258bd4de9a7
Yiddish,yiddish,en,1,1,Insufficient eligible catalog inventory,5130,8,8,7,1,1,1,1,0,7,False,2026-09-10T03:34:51.171073+00:00,1,64d164d43d10c61bf8bdfc17898b90752e1bb00c3c3499e50ce08003c1f7bccb
Yoruba,yoruba,yo,0,0,Missing published card translation,1308,217,217,32,185,185,185,185,2,30,True,2026-09-10T03:34:36.545695+00:00,1,fe3ad31f424864485a487d06734f89cfa098c4387c564f71d9bfd9fb9eef9afc
"Zhuang, Minz",zhuang-minz,en,0,0,Insufficient eligible catalog inventory,99581,0,0,0,0,0,0,0,0,0,False,2026-09-10T03:34:53.420562+00:00,1,f79adb9ae806b7eb072b423de2c1b23750991fe4a3c689546c1e38200a081cec
Zulu,zulu,zu,0,0,Missing published card translation,7547,279,279,32,247,247,247,247,2,30,True,2026-09-10T03:34:37.708530+00:00,1,d759f97b147aa5cbb54758d92764c08da57f2cf16661f4ca218497e1e3b41540
