audioLanguageSlug,coreLanguageId,sourcePublishedLeafVideos,sourcePublishedHlsLeafVideos,sourcePublishedHlsVideosAllLabels,curatedStartUnique,curatedUnionUnique,curatedStartWorkFamilies,curatedStartStoryGroups,curatedStartMedianDubAtMost15m,curatedStartFeatureFilms,startMeets6,startMeets30,unionMeets30,adminValidatedUnique,identityStatus,pool_meaning-and-purpose,pool_hope-and-perseverance,pool_love-and-belonging,pool_forgiveness-and-new-beginnings,pool_exploring-jesus
arabic-north-african,20538,1,1,1,1,1,1,1,0,1,False,False,False,0,core_only,0,0,0,0,1
arabic-palestinian,53347,152,152,154,69,71,13,67,66,3,True,True,True,0,core_only,24,29,28,16,43
arabic-saidi-spoken,4532,132,132,132,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
arabic-sanaani,15161,63,63,63,36,36,2,36,34,2,True,True,True,0,core_only,18,16,12,7,22
arabic-sudanese-spoken,13562,153,153,155,70,72,14,68,67,3,True,True,True,0,core_only,25,29,29,16,43
arabic-taizzi-yemeni,184627,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
arabic-tunisian,20547,259,259,261,68,70,12,67,66,2,True,True,True,0,core_only,24,29,28,16,42
aralle,145459,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aramba,11251,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arbore,139498,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
are,144351,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arhe,139524,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arifama-miniafia,10616,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aringa,99508,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
armenian,646,156,156,158,71,73,15,69,68,3,True,True,True,0,core_only,25,29,29,17,44
armenian-western,20550,131,131,131,58,59,4,56,55,3,True,True,True,0,core_only,23,26,20,11,39
arosi,139342,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
arumanian,176089,118,118,118,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
asante-twi,185199,137,137,137,61,62,4,59,54,3,True,True,True,0,core_only,23,27,22,13,40
ashaninka,140060,115,115,115,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
asheninca-pichis,23941,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
assamese,1171,138,138,138,59,60,5,56,56,3,True,True,True,0,core_only,23,28,22,10,39
assamese-muslim,185219,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
assyrian,20551,116,116,116,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
ateso,20963,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
athpariya,97073,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
atitlan-mixe,20830,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
auhelawa,141644,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aukaans,18698,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
avar,15882,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
avikam,16111,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
avokaya,13567,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awa,100703,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awa-8,139568,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awa-cuaiquer,141518,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awad-bing,139661,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awadhi,5603,135,135,135,57,58,3,55,54,3,True,True,True,0,core_only,23,26,20,10,38
awadhi-nepal,184922,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awajun,139322,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awak,10231,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awgni,53389,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awing,139611,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
awutu,19468,67,67,67,39,39,2,39,34,1,True,True,True,0,core_only,18,17,14,10,23
ayizo-2,157289,55,55,55,32,32,1,32,31,1,True,True,True,0,core_only,17,14,12,7,18
ayizo-tori,145621,1,1,1,1,1,1,1,0,1,False,False,False,0,core_only,0,0,0,0,1
aymara-central,616,152,152,154,69,71,13,67,66,3,True,True,True,0,core_only,24,29,28,16,43
ayoreo,139601,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ayta-abellen,96911,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ayta-ambala,139244,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ayta-mag-antsi,12596,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
ayta-mag-indi,139772,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
azerbaijani-iran,355,87,87,89,48,49,12,47,47,1,True,True,True,0,core_only,19,20,21,13,27
azerbaijani-north,689,164,164,166,78,80,22,76,75,3,True,True,True,0,core_only,26,31,29,19,51
azha,97274,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
aztec-nahuatl-guerrero,20843,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
babanki,139635,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bacama-bwatiye,53330,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bada,19547,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
badaga,5613,115,115,115,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
bade,10221,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bado-parja,184499,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
baeggu,139997,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
baelelea,139996,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bafut,2819,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bagheli,6648,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bagri,5699,121,121,121,56,57,2,55,54,2,True,True,True,0,core_only,23,26,20,10,37
bahasa-melayu-2,170534,2,2,2,1,1,1,1,1,0,False,False,False,0,core_only,0,0,0,0,1
bahnar,19391,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bai,3948,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bai-lama,184480,63,63,63,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bai-southern,25916,70,70,70,40,40,2,40,39,1,True,True,True,0,core_only,19,18,13,9,25
baiso,139961,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
baitadeli,111587,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bajau-indonesian,17655,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bajhangi,111589,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bajureli,184907,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
baka,97237,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bakairi,1884,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bakhtiari,6800,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bakumpai,19560,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
bakwe,184847,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balangao,12808,64,64,64,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balangin-indo,184936,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balanta,13002,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balanta-ganja,23511,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
balanta-naga,53321,62,62,62,35,35,1,35,34,1,True,True,True,0,core_only,18,16,12,7,21
